,image,subject,contrast,hemi,view
55,s07/tstat01_turning_rest.nii.gz.s07.lh_medial.png,s07,turning_rest,lh,medial
56,s07/tstat03_imagine_rest.nii.gz.s07.rh_medial.png,s07,imagine_rest,rh,medial
57,s07/tstat01_turning_rest.nii.gz.s07.rh_medial.png,s07,turning_rest,rh,medial
58,s07/tstat03_imagine_rest.nii.gz.s07.lh_medial.png,s07,imagine_rest,lh,medial
59,s07/tstat02_walking_rest.nii.gz.s07.lh_lateral.png,s07,walking_rest,lh,lateral
60,s07/tstat04_turning_walking.nii.gz.s07.lh_medial.png,s07,turning_walking,lh,medial
61,s07/tstat04_turning_walking.nii.gz.s07.rh_medial.png,s07,turning_walking,rh,medial
62,s07/tstat04_turning_walking.nii.gz.s07.rh_lateral.png,s07,turning_walking,rh,lateral
63,s07/tstat01_turning_rest.nii.gz.s07.lh_lateral.png,s07,turning_rest,lh,lateral
64,s07/tstat02_walking_rest.nii.gz.s07.rh_medial.png,s07,walking_rest,rh,medial
65,s07/tstat02_walking_rest.nii.gz.s07.lh_medial.png,s07,walking_rest,lh,medial
66,s07/SMA_imagine_rest.nii.gz.s07.rh_dorsal.png,s07,imagine_rest,rh,dorsal
67,s07/SMA_imagine_rest.nii.gz.s07.lh_dorsal.png,s07,imagine_rest,lh,dorsal
68,s07/tstat02_walking_rest.nii.gz.s07.rh_lateral.png,s07,walking_rest,rh,lateral
69,s07/tstat03_imagine_rest.nii.gz.s07.lh_lateral.png,s07,imagine_rest,lh,lateral
70,s07/tstat04_turning_walking.nii.gz.s07.lh_lateral.png,s07,turning_walking,lh,lateral
71,s07/tstat01_turning_rest.nii.gz.s07.rh_lateral.png,s07,turning_rest,rh,lateral
72,s08/tstat03_imagine_rest.nii.gz.s08.lh_lateral.png,s08,imagine_rest,lh,lateral
73,s08/tstat04_turning_walking.nii.gz.s08.lh_lateral.png,s08,turning_walking,lh,lateral
74,s08/tstat02_walking_rest.nii.gz.s08.rh_lateral.png,s08,walking_rest,rh,lateral
75,s08/tstat03_imagine_rest.nii.gz.s08.rh_medial.png,s08,imagine_rest,rh,medial
76,s08/tstat01_turning_rest.nii.gz.s08.lh_medial.png,s08,turning_rest,lh,medial
77,s08/tstat03_imagine_rest.nii.gz.s08.lh_medial.png,s08,imagine_rest,lh,medial
78,s08/tstat01_turning_rest.nii.gz.s08.rh_medial.png,s08,turning_rest,rh,medial
79,s08/tstat01_turning_rest.nii.gz.s08.rh_lateral.png,s08,turning_rest,rh,lateral
80,s08/tstat04_turning_walking.nii.gz.s08.rh_medial.png,s08,turning_walking,rh,medial
81,s08/tstat04_turning_walking.nii.gz.s08.lh_medial.png,s08,turning_walking,lh,medial
82,s08/tstat02_walking_rest.nii.gz.s08.rh_medial.png,s08,walking_rest,rh,medial
83,s08/tstat02_walking_rest.nii.gz.s08.lh_medial.png,s08,walking_rest,lh,medial
84,s08/tstat02_walking_rest.nii.gz.s08.lh_lateral.png,s08,walking_rest,lh,lateral
85,s08/tstat04_turning_walking.nii.gz.s08.rh_lateral.png,s08,turning_walking,rh,lateral
86,s08/SMA_imagine_rest.nii.gz.s08.rh_dorsal.png,s08,imagine_rest,rh,dorsal
87,s08/SMA_imagine_rest.nii.gz.s08.lh_dorsal.png,s08,imagine_rest,lh,dorsal
88,s08/tstat03_imagine_rest.nii.gz.s08.rh_lateral.png,s08,imagine_rest,rh,lateral
89,s08/tstat01_turning_rest.nii.gz.s08.lh_lateral.png,s08,turning_rest,lh,lateral
90,s09/tstat01_turning_rest.nii.gz.s09.lh_lateral.png,s09,turning_rest,lh,lateral
91,s09/tstat04_turning_walking.nii.gz.s09.lh_lateral.png,s09,turning_walking,lh,lateral
92,s09/tstat02_walking_rest.nii.gz.s09.lh_lateral.png,s09,walking_rest,lh,lateral
93,s09/tstat03_imagine_rest.nii.gz.s09.rh_lateral.png,s09,imagine_rest,rh,lateral
94,s09/tstat04_turning_walking.nii.gz.s09.rh_medial.png,s09,turning_walking,rh,medial
95,s09/tstat04_turning_walking.nii.gz.s09.lh_medial.png,s09,turning_walking,lh,medial
96,s09/tstat01_turning_rest.nii.gz.s09.rh_lateral.png,s09,turning_rest,rh,lateral
97,s09/tstat03_imagine_rest.nii.gz.s09.lh_medial.png,s09,imagine_rest,lh,medial
98,s09/tstat01_turning_rest.nii.gz.s09.rh_medial.png,s09,turning_rest,rh,medial
99,s09/tstat03_imagine_rest.nii.gz.s09.rh_medial.png,s09,imagine_rest,rh,medial
100,s09/tstat01_turning_rest.nii.gz.s09.lh_medial.png,s09,turning_rest,lh,medial
101,s09/tstat04_turning_walking.nii.gz.s09.rh_lateral.png,s09,turning_walking,rh,lateral
102,s09/tstat03_imagine_rest.nii.gz.s09.lh_lateral.png,s09,imagine_rest,lh,lateral
103,s09/tstat02_walking_rest.nii.gz.s09.rh_lateral.png,s09,walking_rest,rh,lateral
104,s09/SMA_imagine_rest.nii.gz.s09.lh_dorsal.png,s09,imagine_rest,lh,dorsal
105,s09/SMA_imagine_rest.nii.gz.s09.rh_dorsal.png,s09,imagine_rest,rh,dorsal
106,s09/tstat02_walking_rest.nii.gz.s09.lh_medial.png,s09,walking_rest,lh,medial
107,s09/tstat02_walking_rest.nii.gz.s09.rh_medial.png,s09,walking_rest,rh,medial
108,s10/tstat01_turning_rest.nii.gz.s10.rh_lateral.png,s10,turning_rest,rh,lateral
109,s10/tstat02_walking_rest.nii.gz.s10.lh_medial.png,s10,walking_rest,lh,medial
110,s10/tstat02_walking_rest.nii.gz.s10.rh_medial.png,s10,walking_rest,rh,medial
111,s10/SMA_imagine_rest.nii.gz.s10.rh_dorsal.png,s10,imagine_rest,rh,dorsal
112,s10/SMA_imagine_rest.nii.gz.s10.lh_dorsal.png,s10,imagine_rest,lh,dorsal
113,s10/tstat04_turning_walking.nii.gz.s10.rh_medial.png,s10,turning_walking,rh,medial
114,s10/tstat04_turning_walking.nii.gz.s10.lh_medial.png,s10,turning_walking,lh,medial
115,s10/tstat04_turning_walking.nii.gz.s10.lh_lateral.png,s10,turning_walking,lh,lateral
116,s10/tstat03_imagine_rest.nii.gz.s10.lh_lateral.png,s10,imagine_rest,lh,lateral
117,s10/tstat02_walking_rest.nii.gz.s10.rh_lateral.png,s10,walking_rest,rh,lateral
118,s10/tstat03_imagine_rest.nii.gz.s10.lh_medial.png,s10,imagine_rest,lh,medial
119,s10/tstat01_turning_rest.nii.gz.s10.rh_medial.png,s10,turning_rest,rh,medial
120,s10/tstat03_imagine_rest.nii.gz.s10.rh_medial.png,s10,imagine_rest,rh,medial
121,s10/tstat01_turning_rest.nii.gz.s10.lh_medial.png,s10,turning_rest,lh,medial
122,s10/tstat01_turning_rest.nii.gz.s10.lh_lateral.png,s10,turning_rest,lh,lateral
123,s10/tstat02_walking_rest.nii.gz.s10.lh_lateral.png,s10,walking_rest,lh,lateral
124,s10/tstat03_imagine_rest.nii.gz.s10.rh_lateral.png,s10,imagine_rest,rh,lateral
